Term,What it means
ED,"Early Decision — apply early and, if admitted, you are bound to enrol and withdraw your other applications. Avoid it if you need to compare aid offers."
EA,"Early Action — apply early for an earlier decision; non-binding, so you stay free to compare offers and decline."
RD,Regular Decision — the standard round with the normal (later) deadline; non-binding.
cost of attendance,"The university's official all-in yearly price — tuition plus housing, food, fees, books and personal expenses. This is the number financial aid is measured against, not the tuition figure alone."
demonstrated need,"Your cost of attendance minus what the university calculates your family can pay. ""Meets 100% of need"" means it covers that gap — it does not automatically mean you pay nothing, so check what's left for you."
need-blind,The university decides admission without looking at whether you asked for financial aid — requesting aid can't hurt your chances.
need-aware,"Your ability to pay can factor into the admission decision — you still request aid, but it is a consideration."
CSS Profile,The College Board's detailed financial-aid application most US universities use to assess your need (separate from the FAFSA). Opens 1 October.
Common App,The Common Application — one online form plus one main essay you reuse across many US universities.
SAT,A standardised US university-entrance exam; many US universities require the SAT or the ACT.
ACT,A standardised US university-entrance exam; an accepted alternative to the SAT.
IELTS,"International English Language Testing System — an English-proficiency test. Your English-medium A-Levels waive it at many universities, but not all."
TOEFL,Test of English as a Foreign Language — an English-proficiency test; an alternative to IELTS.
MOE Tuition Grant,Singapore's Ministry of Education subsidy that cuts tuition sharply in exchange for a 3-year work bond after graduation.
JPA,"Malaysian government overseas-study sponsorship (JPA / MARA, via the PKJM programme) — a route to full funding for eligible students."
Yayasan Khazanah,A Malaysian foundation offering competitive scholarships to study at top global universities.
Washington Accord,"An international agreement that mutually recognises engineering degrees between member countries (the US, UK, Australia and Malaysia all belong), so an accredited degree carries over."
BEM,Board of Engineers Malaysia — the body you register with to practise as an engineer in Malaysia; it recognises accredited degrees via the Washington Accord.
MQA,Malaysian Qualifications Agency — the Malaysian body that recognises foreign qualifications; check its register to confirm your degree counts back home.
CEng,"Chartered Engineer — the UK's full professional-engineer status; it usually needs an accredited MEng (or a BEng plus further learning) and maps to the Washington Accord, so it's the route Malaysia's BEM recognises for Ir. registration."
IEng,"Incorporated Engineer — a UK professional grade below Chartered. A BEng on its own typically meets IEng, which maps to the Sydney Accord — a lower tier than the Washington Accord chartered route."
EAC,Engineering Accreditation Council — the Malaysian body that accredits engineering degrees for the Washington Accord and for BEM Professional Engineer (Ir.) registration.
UCAS,"The UK's central undergraduate application service — one form to apply to up to five UK universities, with a mid-January equal-consideration deadline."
Graduate Route,The UK's post-study work visa — lets graduates stay and work after their degree (18 months for bachelor's/master's applying from 1 January 2027).
Ir.,The title of a Professional Engineer registered with BEM — the qualification you need to sign off engineering work in Malaysia.
UPU,"The central application system for Malaysian public universities — one form, used instead of applying to each university directly."
MUET,"Malaysian University English Test — the English test Malaysian public universities require through UPU, in place of IELTS."
STPM,"Malaysia's national pre-university qualification (Sijil Tinggi Persekolahan Malaysia), the local route into a degree alongside A-Levels."
UEC,"Unified Examination Certificate — the Malaysian independent-Chinese-school qualification. Some scholarships are UEC-only, so an A-Level student can't claim them."
OOS,Out-of-state — the higher tuition rate a US public university charges students from outside its state. International students pay this rate.
EAB,"Engineering Accreditation Board — Singapore's engineering accreditor. Its degrees carry the Washington Accord, so they map onto Malaysia's BEM route."
IES,"Institution of Engineers, Singapore — the professional body behind EAB accreditation."
Go8,Group of Eight — Australia's eight oldest research-intensive universities; the closest thing the country has to an Ivy League label.
