Term,What it means
RD,Regular Decision — the standard round with the normal (later) deadline; non-binding.
cost of attendance,"The university's official all-in yearly price — tuition plus housing, food, fees, books and personal expenses. This is the number financial aid is measured against, not the tuition figure alone."
demonstrated need,"Your cost of attendance minus what the university calculates your family can pay. ""Meets 100% of need"" means it covers that gap — it does not automatically mean you pay nothing, so check what's left for you."
need-blind,The university decides admission without looking at whether you asked for financial aid — requesting aid can't hurt your chances.
need-aware,"Your ability to pay can factor into the admission decision — you still request aid, but it is a consideration."
CSS Profile,The College Board's detailed financial-aid application most US universities use to assess your need (separate from the FAFSA). Opens 1 October.
Common App,The Common Application — one online form plus one main essay you reuse across many US universities.
SAT,A standardised US university-entrance exam; many US universities require the SAT or the ACT.
ACT,A standardised US university-entrance exam; an accepted alternative to the SAT.
IELTS,"International English Language Testing System — an English-proficiency test. Your English-medium A-Levels waive it at many universities, but not all."
TOEFL,Test of English as a Foreign Language — an English-proficiency test; an alternative to IELTS.
MOE Tuition Grant,Singapore's Ministry of Education subsidy that cuts tuition sharply in exchange for a 3-year work bond after graduation.
JPA,"Malaysian government overseas-study sponsorship (JPA / MARA, via the PKJM programme) — a route to full funding for eligible students."
UAC,Universities Admissions Centre — the shared applications hub for Australian Year-12 students; international applicants usually apply to each university directly instead.
MQA,Malaysian Qualifications Agency — the Malaysian body that recognises foreign qualifications; check its register to confirm your degree counts back home.
UCAS,"The UK's central undergraduate application service — one form to apply to up to five UK universities, with a mid-January equal-consideration deadline."
Graduate Route,The UK's post-study work visa — lets graduates stay and work after their degree (18 months for bachelor's/master's applying from 1 January 2027).
UPU,"The central application system for Malaysian public universities — one form, used instead of applying to each university directly."
MUET,"Malaysian University English Test — the English test Malaysian public universities require through UPU, in place of IELTS."
Go8,Group of Eight — Australia's eight oldest research-intensive universities; the closest thing the country has to an Ivy League label.
